epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.03,1.0582,1.51113,1.0818,0.85453,0.8882,0.92087,0.70207,0.87059,1.31088,0.95989,0.000199918,0.000199918,0.0802081
2,849.548,0.90902,1.05171,1.00023,0.94956,0.93928,0.97941,0.64508,1.22833,0.95595,1.07927,0.000399821,0.000399821,0.060408
3,1267.5,0.87405,0.97107,0.98486,0.92853,0.94475,0.96546,0.77221,0.76985,0.80264,0.92872,0.000599332,0.000599332,0.0406075
4,1686.25,0.83877,0.91334,0.97052,0.94347,0.95292,0.96917,0.78562,0.75903,0.75559,0.9112,0.000798161,0.000798161,0.0208063
5,2103.72,0.8085,0.87263,0.96115,0.9421,0.94663,0.97783,0.81978,0.67345,0.68755,0.89064,0.000996015,0.000996015,0.00100419
6,2519.6,0.77515,0.83698,0.95096,0.9304,0.96401,0.98199,0.8448,0.58573,0.63731,0.87164,0.000993906,0.000993906,0.000993906
7,2947.5,0.76311,0.80651,0.94,0.95043,0.94744,0.98469,0.82612,0.67088,0.63576,0.88929,0.000991232,0.000991232,0.000991232
8,3365.88,0.74046,0.78479,0.9369,0.9512,0.9556,0.98536,0.84387,0.60564,0.59456,0.87078,0.000988079,0.000988079,0.000988079
9,3783.5,0.72609,0.75871,0.93096,0.95298,0.9545,0.981,0.82536,0.64242,0.61611,0.8801,0.000984449,0.000984449,0.000984449
10,4197.16,0.71014,0.74681,0.92793,0.95077,0.95647,0.98511,0.83896,0.60527,0.57324,0.87164,0.000980345,0.000980345,0.000980345
11,4618.1,0.70339,0.72597,0.92342,0.95516,0.9487,0.98456,0.84447,0.58587,0.56039,0.86562,0.000975773,0.000975773,0.000975773
12,5033.15,0.68182,0.70983,0.91924,0.96353,0.94639,0.98633,0.85923,0.5757,0.5529,0.86298,0.000970736,0.000970736,0.000970736
13,5449.39,0.6783,0.70143,0.9152,0.96438,0.94581,0.98656,0.85268,0.56525,0.54577,0.86307,0.000965239,0.000965239,0.000965239
14,5861.52,0.67115,0.69289,0.91651,0.96274,0.95085,0.98557,0.86223,0.54818,0.53186,0.85821,0.000959289,0.000959289,0.000959289
15,6280.23,0.66547,0.68808,0.91235,0.95875,0.95554,0.98477,0.86316,0.54138,0.52613,0.85728,0.000952889,0.000952889,0.000952889
16,6696.79,0.65435,0.67938,0.90847,0.95165,0.96055,0.98571,0.87352,0.51767,0.51709,0.85118,0.000946048,0.000946048,0.000946048
17,7114.75,0.64705,0.67593,0.90809,0.94413,0.96095,0.98566,0.87056,0.52755,0.52307,0.85237,0.000938772,0.000938772,0.000938772
18,7525.72,0.64829,0.66835,0.90829,0.963,0.94837,0.98592,0.86255,0.54801,0.51563,0.85619,0.000931067,0.000931067,0.000931067
19,7935.58,0.63377,0.6545,0.90483,0.95911,0.9557,0.98785,0.86717,0.53735,0.50207,0.85277,0.000922942,0.000922942,0.000922942
20,8339.02,0.62563,0.64513,0.90207,0.95066,0.96232,0.98761,0.87448,0.52625,0.49876,0.85057,0.000914405,0.000914405,0.000914405
21,8749.05,0.62674,0.64451,0.90022,0.94832,0.966,0.98741,0.87297,0.52993,0.49436,0.85129,0.000905463,0.000905463,0.000905463
22,9156.87,0.61858,0.6386,0.9,0.96381,0.95478,0.98787,0.87867,0.51877,0.48465,0.84986,0.000896127,0.000896127,0.000896127
23,9569.11,0.61751,0.62415,0.89789,0.96865,0.94682,0.98794,0.87869,0.51717,0.48166,0.84822,0.000886404,0.000886404,0.000886404
