place_id,place_name,address,lat,lon,rating_place,reviewer,review_text,review_rating,review_date,review_likes,total_reviews_place,source,review_id,description,highlighted_description,avatar_title,rating,posted_at,ordered,liked_count,is_liked,is_review_owner,order_id,has_copy_order,content_last_modified_at,status,entity_type,edit_review_expiration_time,merchant_id,reviews_madeby_user,item_ratings,mex_reply,photos,should_display_see_translation,tags,avatar_url,_year,is_question,text_ml,text_bert,_year_src,token_count
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,Itafm 9001,"Mie ayam nya enak
Murah pas dikantong
Tempat bersih
Pelayanan bagus
Rasa tidak mengecewakan",5.0,2024-02-07T06:57:48.918Z,1.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2024,False,lezat murah pas kantong bersih layan bagus tidak kecewa,mie ayam nya lezat murah pas dikantong tempat bersih pelayanan bagus rasa tidak mengecewakan,2024,9
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,Agung Prakoso,Wenak tenann sing ora mampir fix arogan,5.0,2024-02-05T07:51:17.994Z,0.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2024,False,wenak tenann sing ora mampir fix arogan,wenak tenann sing ora mampir fix arogan,2024,7
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,autorental mobil,"mie ayam yami dan yummy,mantap✅⭐️⭐️⭐️⭐️⭐️",5.0,2024-02-05T07:29:22.846Z,1.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2024,False,yami nikmat bagus,mie ayam yami dan nikmat bagus,2024,3
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,rahmat arif,"mienya enak, porsinya ngenyangin",5.0,2024-02-05T07:11:49.151Z,1.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2024,False,mienya lezat porsi ngenyangin,mienya lezat porsinya ngenyangin,2024,4
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,Momo Angelina,"enak pol mienya terbaik sepurwokerto si, nagih pokoknyaaa",5.0,2024-02-05T07:10:28.604Z,1.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2024,False,lezat pol mienya baik sepurwokerto si nagih pokoknyaaa,lezat pol mienya terbaik sepurwokerto si nagih pokoknyaaa,2024,8
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,ship PUR,"Enak mantep,,, sering ada promo😁",5.0,2024-02-05T05:56:41.254Z,1.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2024,False,lezat bagus promo,lezat bagus sering ada promo,2024,3
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,Dria Yuliana,"Tempat makannya enak,  bisa lesehan,  atau pake kursi dan ada mejanya,  mie nya enak,  murah dapet bonus es teh manis ,",5.0,2024-01-27T15:22:58.843Z,1.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2024,False,makan lezat leseh pake kursi meja lezat murah dapet bonus es teh manis,tempat makannya lezat bisa lesehan atau pake kursi dan ada mejanya mie nya lezat murah dapet bonus es teh manis,2024,13
ChIJncU2HsRfZS4Rj_9NKzPuOPU,Mie Ayam Goar,"Sebelah toko besi paku mas, Jl. Vihara Jl. Pasar Wage No.4, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53136, Indonesia",-7.4260842,109.2493904,4.9,Nabil,goar btul,5.0,2021-12-07T20:21:16.108Z,0.0,10.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2021,False,goar btul,goar btul,2021,2
ChIJiZRwRYleZS4RUiPMwpOVhO4,Mie Ayam Mame,"H6GR+R8R, Jl. Adhyaksa I, Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.4228848,109.240767,4.5,d1m4y tan paggama,Siki bukak ora mas?,5.0,2026-03-20T04:46:25.907Z,0.0,137.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2026,True,siki bukak ora mas,siki bukak ora mas?,2026,4
ChIJiZRwRYleZS4RUiPMwpOVhO4,Mie Ayam Mame,"H6GR+R8R, Jl. Adhyaksa I, Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.4228848,109.240767,4.5,Muhammad Nurul Anwar,"Rasanya ta seenak dulu
Tapi masih tetep enak si
Cuma agak beda saja rasanya dengan yang dulu, menurut lidahku.",4.0,2026-02-03T01:26:27.379Z,0.0,137.0,google_maps,,,,,,,,,,,,,,,,,,,,,,,,,2026,False,ta enak tapi tetep lezat si beda lidah,rasanya ta seenak dulu tapi masih tetep lezat si cuma agak beda saja rasanya dengan yang dulu menurut lidahku,2026,8
