place_id,place_name,address,lat,lon,n_reviews,n_negatif,n_positif,sentimen_mayoritas,avg_prob_neg,avg_prob_pos,ringkasan_ulasan,contoh_ulasan
ChIJS5GJB4VeZS4R6dh2FlymV-0,Mi Ayam Pak Wanto Purwokerto,"Jl. Pramuka No.18, Kongsen, Purwokerto Kulon, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53141, Indonesia",-7.429113799999996,109.24458050000003,231,27,204,Positif,0.14974789321422577,0.850252091884613,"rasa enak/gurih, tempat nyaman/bersih, porsi kurang","&bull; Mie ne ora benyek, pas di lidah, rasa maknyuuzz harga terjangkau<br>&bull; Pesen mie ayam dan sawi bumbu biar banyak sayur.. minta nambah kuah karena bumbunya masih asin..<br>&bull; Mie ayam legend… murah meriah enakk… harga 12rb"
ChIJIa6A2JheZS4RGBaxKksbR4Q,Mie Ayam Mbak Kimun,"Jl. Jend. Sudirman No.895, Pejagalan, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.4310969999999985,109.2564693,220,52,168,Positif,0.2459087073802948,0.7540913224220276,"rasa enak/gurih, tempat nyaman/bersih, pelayanan lama/kurang","&bull; Mie Gopalanya Enakkkkkk<br>&bull; Salah satu pilihan mie ayam di Purwokerto yang wajib dikunjungi.. Es teh jangan lupa Kie ayam kriuk...<br>&bull; Mie ayam goreng (Mieago) paling enak di sini, untuk pelayanan dan suasana biasa saja tidak ada yang spesial."
ChIJ53Cyt5JeZS4RayuyzojgXQ0,Mie Ayam dan Bakso Tunggal Rasa,"Jl. Prof. Dr. Suharso No.12, Glempang, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",-7.417195600000001,109.2461375,218,35,183,Positif,0.1905258297920227,0.8094741106033325,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat",&bull; Mie Ayam 🐔 yang sudah lama jadi langganan rasanya nggak diragukan lagi<br>&bull; Rasanya mantap<br>&bull; rasanya pas
ChIJ0Q3VP-JfZS4Rjk32_oSzwZk,Mie Ayam Nyak Dien,"Jl. Prof. Dr. Suharso, Arcawinangun, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.417760799999997,109.25332940000001,217,36,181,Positif,0.2016696333885193,0.7983303666114807,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Mienya kenyal dan nggak lembek, pas banget. Ayamnya juga lumayan banyak, bumbunya gurih ada manis-manis dikit. Pelayanannya juga cepat dan ramah, h...<br>&bull; Dari pertama datang, aromanya aja udah menggoda. Mienya kenyal, dimasak pas, terus topping ayamnya gurih manis dengan bumbu rendang yang meresap sa...<br>&bull; mie ayam nyak dien purwokerto betol betol recommended. rasa mie ayamnya enak, mienya kenyal kenyul, gurih, porsinya pas, dan topping ayamnya melimp..."
ChIJpRcwbhtfZS4R_Y_ak1-Y7I0,Mie Ayam Pak Marso,"Jl. Mardikenya, Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.423968000000001,109.23604299999998,208,22,186,Positif,0.15081289410591125,0.8491871356964111,"rasa enak/gurih, tempat nyaman/bersih, harga terjangkau","&bull; salah satu mie ayam enak di pwt yang recommended buat dicoba. yang bikin enak itu sambalnya, ngga ada di tempat lain. lumayan ramai dan penuh di ja...<br>&bull; pelayanannya cepet, enak mie ayamnya, kecil² tipis gtu bentuk mienya, tp porsinya jumbo dengan harga yg murah<br>&bull; porsi nya jumbo bikin kenyang rasa mantul, harga pas di kantong"
ChIJfU3hcQBfZS4RoMdOpibRv4w,Bakso dan Mie Ayam Ceker Pak Sariman Purwokerto,"Jl. Perintis Kemerdekaan Jl. Sidanegara II No.18, Penisian, Purwokerto Kulon, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53141, Indonesia",-7.4335718,109.24020360000002,172,7,165,Positif,0.08344705402851105,0.9165529012680054,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; rasa nya pas gurih, enak bangetttt bestt pokoknya, untuk pelayanan nya mungkin bisa lebih ditingkatkan lagi<br>&bull; kesini 3x jam makan siang tapi 3x juga menu yang di pesan ngga ada semua. kalo ngga ada mending ga usah ditulis dimenu. mau ganti yg lain katanya s...<br>&bull; pelayanan ramah, banyak promo menarik yang menguntungkan WAJIB DI COBA!"
ChIJGdD29LZfZS4RBVENDLZTXtA,Mie Ayam Kita (spesial Rendang),"Jl. Riyanto, RT.002/RW.001, Sumampir Wetan, Sumampir, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.399537400000001,109.240713,161,16,145,Positif,0.12830854952335358,0.8716914057731628,"rasa enak/gurih, tempat nyaman/bersih, harga terjangkau","&bull; Nyam nyamm... enak, harga nya lumayan murah<br>&bull; Selama di Purwokerto baru Mie Ayam ini sih yang sesuai sama lidah aku😭🫶 Bumbunya rich dan tipe kuahnya kental. Mau pesen balungan 2 porsi kata mas...<br>&bull; Payah bgt udah ke sini bbrp kali, semalam ke sini tekstur sambalnya macam Air di kasih saus = encer pollllll, lebih parahnya lagi saya dan teman ma..."
ChIJMx4q4l1eZS4RGNd03NSpQHU,Mie Ayam Tanjlig,"H6MH+CQJ, Karangjengkol, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53131, Indonesia",-7.416409200000002,109.22940250000003,122,17,105,Positif,0.1684868037700653,0.8315131664276123,"rasa enak/gurih, tempat nyaman/bersih, porsi banyak","&bull; Mantap baksonya kresss waktu di gigit. Mie ayamnya enak<br>&bull; Salah satu mie ayam terenak di Purwokerto Tips makan mie ayamnya jangan terlalu banyak saus agar rasa mie ayamnya lwbih terasa bumbunya<br>&bull; Kalo anda baca ini, cobain mie ayam + baksonya cuy… pastikan kondisi perut anda kosong ya, karena porsinya kusus buat orang-orang yang punya porsi..."
ChIJfyxZtoleZS4RsyrM1NbW5NI,Dapoer Prambanan,"Jl. Merdeka No.10, Brubahan, Kranji, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.425954200000002,109.23717689999997,113,26,87,Positif,0.2569809556007385,0.7430190443992615,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Gak lg lah cukup sekali aja,,emg dtngny udh mlm cmn kn yg namanya layanan hrsny tetep baik<br>&bull; Beberapa kali makan di sini, recomended untuk rasa nya. Harga standar, tempat cukup nyaman.<br>&bull; Luas nyaman enak estetik"
ChIJB_I_rGJeZS4R6N3Mbln0T6c,Mie Ayam Tipar,"H6FP+429, Jl. Kolonel Sugiono, Kranjimuntang, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.427217,109.2351073,112,21,91,Positif,0.21648076176643372,0.7835192084312439,"rasa enak/gurih, tempat nyaman/bersih, porsi kurang","&bull; Maap saya fokus ke sampah bawah tangga & kandang burung didalam rumahnya<br>&bull; rasanya b aja harga sangat mahal<br>&bull; Penasaran karna katanya mie ayam yg enak di purwokerto Beneran enaaakk, suka karna bukan tipe mie ayam yg medok kecap. Rasanya lbh ke gurih, ayamny..."
