place_id,place_name,address,lat,lon,n_reviews,n_negatif,n_positif,sentimen_mayoritas,avg_prob_neg,avg_prob_pos,ringkasan_ulasan,contoh_ulasan,prop_negatif,prop_positif,reliability,marker_radius,status_spatial
ChIJW-DIciNfZS4RSEZl3D7lAlg,MIE AYAM 99 KEBONDALEM PURWOKERTO,"H6GV+HG7, Jl. Jendral Suprapto, Kebondalem, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.423582399999997,109.24378740000003,21,8,13,Positif,0.41707271337509155,0.5829272866249084,"rasa enak/gurih, harga terjangkau, pelayanan lama/kurang","&bull; Porsi & rasanya sudah berubah nggak seperti dulu lagi...melayani pembeli juga terlihat kurang ramah, jualan emang capek tapi nggak gitu juga bro......<br>&bull; Ini kapan jualan lagi atau pindah kemana deh ya?<br>&bull; Mie nya gepeng, tipikal rasa ringan gurih jdi ngga medok, porsi pas, harga 12.000 Saya yg suka rasa medok, untuk mie ayam ini menurut saya kurang.",0.381,0.619,Tinggi,15.081666528902849,Positif
ChIJj6EmYPxeZS4RA5PV1GAcTXQ,Mie Ayam Pak Kumis Asli Bumiayu,"Jl. Riyanto No.16, Sumampir Wetan, Pabuaran, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.400219300000002,109.24451569999998,73,27,46,Positif,0.3902111351490021,0.6097887754440308,"rasa enak/gurih, tempat nyaman/bersih, harga mahal","&bull; Iseng cari d tiktok. Secara rasa enak. Cuma kurang baso aja. Karena kalau pribadi saya suka bgt mie ayam plus baso<br>&bull; harga mahal tapi estehnya kaya ga pake gula, gaada tisu di meja<br>&bull; Coba makan mie nya aja tanpa toping ayam nya lebih enak, toping nya ga enak blass.. itu yg perlu diperbaiki sih.",0.3699,0.6301,Tinggi,23.796808239698567,Positif
ChIJxxmZcGNeZS4RS62Jvdy-imI,Bakso Kota Cak Man,"H6FJ+M3J, Pereng, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.425781599999999,109.23012839999997,42,15,27,Positif,0.3670268654823303,0.6329731941223145,"rasa enak/gurih, pelayanan ramah/cepat, pelayanan lama/kurang","&bull; Baksonya sedep enak dan ada paket biar lebih mudah pesennya<br>&bull; Bakso khas Malang yang letaknya di lantai 1 Rita Supermall. Tersedia aneka varian bakso dari urat, daging, telur puyuh, udang, pangsit dan lainnya....<br>&bull; Enak Harga terjangkau Kuah nya seger banget Bnyak pilihan isi baksonya Selamat menikmati",0.3571,0.6429,Tinggi,19.257629536497294,Positif
ChIJU2LAnzFcZS4R2IzdxnmMrBE,"Mie Ayam ""We-Tan""2","Jl. Kyai H. Wahid Hasim, Windusara, Karangklesem, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53144, Indonesia",-7.4502033999999995,109.24290610000001,73,24,49,Positif,0.34784793853759766,0.6521520614624023,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat",&bull; otra buena comida<br>&bull; Makanannya enak sih cuman pelayanannya kurang ramah senyum<br>&bull; Tolong itu kang parkirnya bayar 2rb ngga mundurin sama nyebrangin Mana lngsung ditinggal pergi enak bgt cuma minta uang,0.3288,0.6712,Tinggi,23.796808239698567,Positif
ChIJqdm23VxfZS4RiZGEgPsPodg,Mie Ayam Ma-Dyang,"Jl. Martadireja 1 No.798, Kejawar, Arcawinangun, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53113, Indonesia",-7.4207155,109.25956390000002,22,7,15,Positif,0.28977832198143005,0.7102217078208923,"rasa enak/gurih, rasa kurang cocok, tempat nyaman/bersih",&bull; Mienya uenak banget<br>&bull; Suasananya kurang begitu ramai<br>&bull; Porsinya kurang banyak..,0.3182,0.6818,Tinggi,15.318914671611546,Positif
ChIJZyfDRm5fZS4RdgCJLSPfTtk,Bakso dan Mie Ayam Pak Kisman,"Jl. Tanjlig No.12, Karangjengkol, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53131, Indonesia",-7.416400000000001,109.22933109999998,7,2,5,Positif,0.28386929631233215,0.7161306738853455,"rasa enak/gurih, pelayanan lama/kurang, tempat nyaman/bersih","&bull; Mie ayamnya enak, beda dari kebanyakan mie ayam pwt yang ada bumbu kacangnya. Next mau cobain baksonyaa<br>&bull; Kebetulan kesini di jam makan siang, tenpatnya kursinya gak banyak jadi gak bisa duduk lama lama. Pelayananya lumayan lama juga, mungkin faktor ram...<br>&bull; Mencoba mie ayam bakso tetelan, secara rasa umum, tempat di dalam kurang nyaman karena panas, yang tidak terbiasa dengan rokok tidak disarankan, ka...",0.2857,0.7143,Sedang,10.820652884342099,Positif
ChIJlQaFUmxfZS4RqlctDf7hLJs,Mie Ayam Kamandaka,"H6R8+7XG, Jl. Kamandaka, Dusun II, Bobosan, Kec. Kedungbanteng, Kabupaten Banyumas, Jawa Tengah 53152, Indonesia",-7.409301,109.21745229999999,29,8,21,Positif,0.28381505608558655,0.7161850333213806,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Enak porsi banyak tapi yang difoto engga habis wkwk<br>&bull; mie ayam yg ngasih ayamnya gak pelit, ditambah topping juga jadi tambah mantap, dan yg jadi ciri khas dari dulu yaitu ada taburan kacang yg bisa di...<br>&bull; Mienya kecil tapi enak jarang jarang ada mie ayam pakai mie kecil asli ini enaknya mie nya, sudah 2 kali mampir selalu ramai",0.2759,0.7241,Tinggi,16.84736257569591,Positif
ChIJabBj1B9fZS4RIw6Vh9Nfvhg,Mie Ayam & Bakso WE-TAN,"Jl. Senopati, Arcawinangun, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53113, Indonesia",-7.415789300000002,109.2637874,51,14,37,Positif,0.28671780228614807,0.7132821083068848,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Mie ayam yang sangat enak. Semangkok mie ayam berisi: mie, sawi, ayam, dan kuah. Mienya kenyal dan lembut, ayamnya dapat banyak dan rasanya enak. K...<br>&bull; Sambelnya kecut (asem) Porsi cukup Baksonya biasa saja Karyawanya sibuk megang HP semua (kaya males).<br>&bull; Porsinya banyak, rasanya enak, pelayanannya cepat",0.2745,0.7255,Tinggi,20.71114254279427,Positif
ChIJiZRwRYleZS4RUiPMwpOVhO4,Mie Ayam Mame,"H6GR+R8R, Jl. Adhyaksa I, Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.422884800000002,109.24076700000003,63,17,46,Positif,0.2808131277561188,0.7191869020462036,"rasa enak/gurih, porsi kurang, tempat nyaman/bersih","&bull; Siki bukak ora mas?<br>&bull; Rasanya ta seenak dulu Tapi masih tetep enak si Cuma agak beda saja rasanya dengan yang dulu, menurut lidahku.<br>&bull; Rekomended pisan mie ayam ini hanya buka pagi hari jangan sampai telat dengan citarasa kaldu yang medok pisan dan mie bentukannya kecil kenyal dan...",0.2698,0.7302,Tinggi,22.4619586530263,Positif
ChIJAy5VJ2FeZS4R8vYZbOf7EQA,"Mie Ayam ""Ti Tasik""","Jl. Jend. Gatot Subroto No.47, Karangjengkol, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",-7.4198261,109.2307849,16,4,12,Positif,0.2595771849155426,0.7404228448867798,"rasa enak/gurih, tempat nyaman/bersih, harga terjangkau","&bull; Rasa mie nya enak sepertinya buatan sendiri, namun untuk rasa ayamnya standar. Bumbunya gurih enak tipikal mie yg kuahnya bening. Mie nya ngenyangi...<br>&bull; Sudah ngga enak mie Ayam baksonya, ngga seenak dulu. Dulu ada sambal buatan Ci Tasik yg sangat enak, sekarang cuma saus botol biasa. Baksonya juga...<br>&bull; Gak ada kecap, gak ada sambel, mi nya Hanya dikasih saos jd kek kecut gitu. Perlu di upgrade siih rasanya dan ayamnya gak berasa",0.25,0.75,Sedang,13.8,Positif
