Rank,Model,Train Variant,Train Rows,Train Neg,Train Pos,Selection Score,Fit Status,Train Macro-F1,Val Macro-F1,Test Macro-F1,Test Recall-NEG,Test Recall-POS,Test Precision-NEG,Test Precision-POS,Test Accuracy,Test ROC-AUC,Threshold,Waktu (s),Notes
1,OPT LinearSVC calibrated TF-IDF word+char + rus_1_3 + class_weight + balanced_threshold,rus_1_3,1712,428,1284,0.8453192200722803,relatif_baik,0.980896123564587,0.8802440884820748,0.873880266075388,0.9411764705882353,0.9432624113475178,0.6666666666666666,0.9925373134328358,0.9430379746835443,0.9720483938256154,0.59,0.4309804439544678,"Non-pretrained. TF-IDF word+char, LinearSVC calibrated, train=rus_1_3, class_weight balanced."
2,OPT SGD Logistic TF-IDF word+char + rus_1_2 + class_weight + plain CE + early_stop + balanced_threshold,rus_1_2,1284,428,856,0.84464584716325,relatif_baik,0.9770565531498444,0.8956117021276595,0.8746031746031746,0.8235294117647058,0.9645390070921985,0.7368421052631579,0.9784172661870504,0.9493670886075949,0.9649561952440551,0.27,0.27869677543640137,"Non-pretrained. TF-IDF word+char, train=rus_1_2, SGD log_loss/plain CE, class_weight=balanced, early_stop."
3,OPT LinearSVC calibrated TF-IDF word+char + natural_80pct + class_weight + balanced_threshold,natural_80pct,2826,428,2398,0.8385005563224526,relatif_baik,0.9779756167892408,0.8680672268907563,0.8746031746031746,0.8235294117647058,0.9645390070921985,0.7368421052631579,0.9784172661870504,0.9493670886075949,0.9691280767626198,0.6,0.8201432228088379,"Non-pretrained. TF-IDF word+char, LinearSVC calibrated, train=natural_80pct, class_weight balanced."
4,OPT Logistic Regression TF-IDF word+char + natural_80pct + class_weight + balanced_threshold,natural_80pct,2826,428,2398,0.8324138655569003,relatif_baik,0.9407139687768086,0.8567518248175183,0.8568840579710144,0.8823529411764706,0.9432624113475178,0.6521739130434783,0.9851851851851852,0.9367088607594937,0.9703796412181893,0.49,0.5010650157928467,"Non-pretrained. TF-IDF word+char, train=natural_80pct, class_weight=balanced, threshold seimbang."
5,OPT SGD Logistic TF-IDF word+char + natural_80pct + class_weight + plain CE + early_stop + balanced_threshold,natural_80pct,2826,428,2398,0.8323130797385045,relatif_baik,0.9531529295640964,0.8680672268907563,0.86816854401335,0.7647058823529411,0.9716312056737588,0.7647058823529411,0.9716312056737588,0.9493670886075949,0.9712140175219024,0.39,0.5572128295898438,"Non-pretrained. TF-IDF word+char, train=natural_80pct, SGD log_loss/plain CE, class_weight=balanced, early_stop."
6,OPT MLP TF-IDF word + rus_1_2 + plain CE + early_stop + balanced_threshold,rus_1_2,1284,428,856,0.832276223844576,relatif_baik,0.9395796435583604,0.8567518248175183,0.8568840579710144,0.8823529411764706,0.9432624113475178,0.6521739130434783,0.9851851851851852,0.9367088607594937,0.9603671255736337,0.56,4.108982801437378,"Non-pretrained. TF-IDF word + MLP from scratch, train=rus_1_2, log-loss/plain CE, early_stop."
7,OPT MLP TF-IDF word + rus_1_3 + plain CE + early_stop + balanced_threshold,rus_1_3,1712,428,1284,0.8193261243242513,relatif_baik,0.9584466019417476,0.881483877925159,0.8554143365531266,0.7647058823529411,0.9645390070921985,0.7222222222222222,0.9714285714285714,0.9430379746835443,0.9703796412181893,0.53,8.735629796981812,"Non-pretrained. TF-IDF word + MLP from scratch, train=rus_1_3, log-loss/plain CE, early_stop."
8,OPT SGD Logistic TF-IDF word+char + rus_1_3 + class_weight + plain CE + early_stop + balanced_threshold,rus_1_3,1712,428,1284,0.8174501620640874,relatif_baik,0.9678927807700664,0.8874551971326166,0.8554143365531266,0.7647058823529411,0.9645390070921985,0.7222222222222222,0.9714285714285714,0.9430379746835443,0.9670421360033374,0.32,0.3420891761779785,"Non-pretrained. TF-IDF word+char, train=rus_1_3, SGD log_loss/plain CE, class_weight=balanced, early_stop."
9,OPT Logistic Regression TF-IDF word+char + rus_1_3 + class_weight + balanced_threshold,rus_1_3,1712,428,1284,0.7981012761053703,relatif_baik,0.9449304240628591,0.8350840336134454,0.8219001610305958,0.9411764705882353,0.9078014184397163,0.5517241379310345,0.9922480620155039,0.9113924050632911,0.9699624530663329,0.52,0.3379781246185303,"Non-pretrained. TF-IDF word+char, train=rus_1_3, class_weight=balanced, threshold seimbang."
10,OPT SGD Logistic TF-IDF word+char + rus_1_2 + class_weight + plain CE + early_stop + balanced_threshold,rus_1_2,1284,428,856,0.7859431103561529,relatif_baik,0.9761014344792025,0.9105209164481933,0.8352106800166875,0.7058823529411765,0.9645390070921985,0.7058823529411765,0.9645390070921985,0.9367088607594937,0.9649561952440551,0.27,0.2646510601043701,"Non-pretrained. TF-IDF word+char, train=rus_1_2, SGD log_loss/plain CE, class_weight={0: 1.2, 1: 1.0}, early_stop."
