source_role,period,place_name,lat,lon,n_reviews,negative,positive,dominant_sentiment,sentiment_source,rentang_tanggal,place_id,avg_confidence_model
training_eda,2020-01,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-01,Bakso Kota Cak Man,-7.4257816,109.2301284,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-02,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,8,1,7,Positif,EDA/labeler all_platforms,,,
training_eda,2020-02,Mie Ayam Pak Gimin,-7.41966,109.2412438,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2020-02,Mie Ayam Mame,-7.4228848,109.240767,2,1,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-02,Bakso Kota Cak Man,-7.4257816,109.2301284,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-03,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,8,1,7,Positif,EDA/labeler all_platforms,,,
training_eda,2020-03,Mie Ayam Kamandaka,-7.3513209,109.2366206,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-03,Mie Ayam Mame,-7.4228848,109.240767,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-04,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-05,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-05,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-06,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-06,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-06,ceker mercon ngapak,-7.4190062,109.2443641,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-07,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.24613749999999,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2020-07,ceker mercon ngapak,-7.4190062,109.2443641,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-07,Mie Ayam Mame,-7.4228848,109.240767,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-08,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-08,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-08,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-08,Mie Ayam Kamandaka,-7.3513209,109.2366206,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-08,Mie Ayam Mbak Kimun,-7.431097,109.2564693,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2020-08,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-08,Bakmi Nyemek Andi,-7.4233206,109.2451137,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-09,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-09,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2020-09,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-09,Mie Ayam Mbak Kimun,-7.431097,109.2564693,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2020-09,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2020-09,Mie Ayam Pak Gimin,-7.41966,109.2412438,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-09,Mie Ayam Mame,-7.4228848,109.240767,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2020-10,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,Mie Ayam Kamandaka,-7.3513209,109.2366206,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,Mie Ayam Mbak Kimun,-7.431097,109.2564693,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,MIE AYAM 99 KEBONDALEM PURWOKERTO,-7.4235824,109.2437874,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,Bakmi Nyemek Andi,-7.4233206,109.2451137,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-10,Mie Ayam Mame,-7.4228848,109.240767,2,2,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2020-11,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-11,Mie Ayam Mbak Kimun,-7.431096999999999,109.2564693,5,3,2,Negatif,EDA/labeler all_platforms,,,
training_eda,2020-11,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-11,Mie Ayam Pojok Lapang,-7.4356344000000005,109.27323210000002,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2020-11,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-11,Mie Ayam Mame,-7.4228848,109.240767,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-11,Bakso Kota Cak Man,-7.4257816,109.2301284,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Mie Ayam Kang Sururi,-7.4121075,109.1733545,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Mie Ayam Mbak Kimun,-7.431097,109.2564693,4,0,4,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Bakso & Mie Ayam NONI,-7.5364665,109.1215043,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Mie Ayam Pojok Lapang,-7.4356344000000005,109.27323210000002,3,1,2,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2020-12,Mie Ayam Mame,-7.4228848,109.240767,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,2,1,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mie Ayam dan Bakso Tunggal Rasa,-7.417195600000001,109.2461375,5,1,4,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mie Ayam Kamandaka,-7.3513209,109.2366206,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mie Ayam Mbak Kimun,-7.431097,109.2564693,4,2,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Bakso & Mie Ayam NONI,-7.5364665,109.1215043,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mie Ayam Pojok Lapang,-7.4356344,109.2732321,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mie Ayam Mame,-7.422884800000001,109.240767,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Mie Ayam Pak Marso,-7.423968,109.236043,10,1,9,Positif,EDA/labeler all_platforms,,,
training_eda,2021-01,Bakso Kota Cak Man,-7.4257816,109.2301284,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.2400907,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam dan Bakso Tunggal Rasa,-7.417195600000001,109.2461375,5,0,5,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,"Mie Ayam ""Ti Tasik""",-7.4198261,109.2307849,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Kamandaka,-7.3513209,109.2366206,1,1,0,Negatif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Mbak Kimun,-7.431097,109.2564693,2,0,2,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,1,0,1,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Pojok Lapang,-7.4356344000000005,109.27323210000002,3,0,3,Positif,EDA/labeler all_platforms,,,
training_eda,2021-02,Mie Ayam Pak Gimin,-7.41966,109.2412438,1,0,1,Positif,EDA/labeler all_platforms,,,
