layer,month,week,rentang_tanggal,place_name,lat,lon,n_reviews,positive,negative,dominant_sentiment,aspect_summary
testing_apr_jun,4,1,01-07 Apr 2026,Bakso dan Mie Ayam Ceker Pak Sariman Purwokerto,-7.4335718,109.2402036,34,34,0,Positif,"rasa enak, tempat nyaman & bersih, harga terjangkau"
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam dan Bakso Tunggal Rasa,-7.4171956,109.2461375,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam Lingkar Indah,-7.4191991,109.2279491,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam Bruderan (Cito),-7.4202487,109.2330205,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam Mbak Kimun,-7.431097,109.2564693,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,4,1,01-07 Apr 2026,Yamien Ajong / Mie Ayam Ajong,-7.4264498,109.2438204,1,1,0,Positif,"pelayanan ramah & cepat, porsi cukup/banyak, rasa enak"
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam Kita (spesial Rendang),-7.3995374,109.240713,1,1,0,Positif,"porsi cukup/banyak, pelayanan lama/kurang"
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam Kriuk Purwokerto,-7.4447847,109.2491317,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam Lampung Khas Bangka Purwokerto,-7.4190533,109.2271083,0,0,0,Tidak ada ulasan,tidak ada ulasan pada minggu ini
testing_apr_jun,4,1,01-07 Apr 2026,Mi Ayam Pak Wanto Purwokerto,-7.4291138,109.2445805,1,1,0,Positif,tema ulasan belum dominan
testing_apr_jun,4,1,01-07 Apr 2026,Mie Ayam Nyak Dien,-7.4177608,109.2533294,4,4,0,Positif,"harga terjangkau, pelayanan ramah & cepat, rasa enak"
